country,not_cancelled,cancelled,%_cancelled
AGO,148.0,193.0,56.6
ALB,9.0,2.0,18.18
AND,2.0,5.0,71.43
ARE,6.0,41.0,87.23
ARG,151.0,50.0,24.88
ARM,6.0,2.0,25.0
AUS,253.0,85.0,25.15
AUT,751.0,167.0,18.19
AZE,8.0,7.0,46.67
BEL,1644.0,393.0,19.29
BEN,,1.0,
BGD,3.0,7.0,70.0
BGR,59.0,9.0,13.24
BHR,1.0,3.0,75.0
BIH,8.0,3.0,27.27
BLR,16.0,7.0,30.43
BOL,3.0,,
BRA,1257.0,690.0,35.44
CAF,5.0,,
CHE,1170.0,374.0,24.22
CHL,49.0,16.0,24.62
CHN,422.0,391.0,48.09
CIV,4.0,2.0,33.33
CMR,10.0,,
CN,843.0,217.0,20.47
COL,46.0,23.0,33.33
CPV,11.0,12.0,52.17
CRI,17.0,1.0,5.56
CUB,8.0,,
CYP,36.0,9.0,20.0
CZE,103.0,32.0,23.7
DEU,4182.0,1008.0,19.42
DNK,285.0,83.0,22.55
DOM,5.0,6.0,54.55
DZA,61.0,21.0,25.61
ECU,18.0,7.0,28.0
EGY,21.0,10.0,32.26
ESP,5351.0,1832.0,25.5
EST,56.0,18.0,24.32
ETH,2.0,1.0,33.33
FIN,357.0,62.0,14.8
FRA,7023.0,1697.0,19.46
FRO,1.0,,
GAB,2.0,2.0,50.0
GBR,7856.0,1870.0,19.23
GEO,5.0,14.0,73.68
GHA,2.0,2.0,50.0
GIB,4.0,11.0,73.33
GNB,8.0,1.0,11.11
GRC,84.0,33.0,28.21
GTM,3.0,,
HKG,2.0,21.0,91.3
HRV,68.0,22.0,24.44
HUN,135.0,61.0,31.12
IDN,11.0,14.0,56.0
IND,108.0,34.0,23.94
IRL,2262.0,613.0,21.32
IRN,57.0,22.0,27.85
IRQ,11.0,,
ISL,21.0,4.0,16.0
ISR,268.0,130.0,32.66
ITA,1966.0,1056.0,34.94
JAM,6.0,,
JEY,,7.0,
JOR,16.0,3.0,15.79
JPN,156.0,23.0,12.85
KAZ,14.0,4.0,22.22
KEN,4.0,2.0,33.33
KOR,75.0,42.0,35.9
KWT,10.0,6.0,37.5
LBN,22.0,7.0,24.14
LBY,8.0,,
LIE,2.0,1.0,33.33
LKA,6.0,,
LTU,64.0,7.0,9.86
LUX,156.0,98.0,38.58
LVA,43.0,8.0,15.69
MAC,1.0,9.0,90.0
MAR,127.0,101.0,44.3
MCO,3.0,1.0,25.0
MDV,3.0,8.0,72.73
MEX,63.0,9.0,12.5
MKD,7.0,2.0,22.22
MLT,11.0,5.0,31.25
MNE,3.0,2.0,40.0
MOZ,29.0,17.0,36.96
MUS,6.0,1.0,14.29
MYS,21.0,3.0,12.5
NGA,13.0,17.0,56.67
NLD,1544.0,343.0,18.18
NOR,354.0,128.0,26.56
NZL,54.0,4.0,6.9
OMN,13.0,4.0,23.53
OTHER,51.0,15.0,22.73
PAK,5.0,8.0,61.54
PAN,8.0,,
PER,20.0,6.0,23.08
PHL,13.0,19.0,59.38
POL,585.0,158.0,21.27
PRI,10.0,1.0,9.09
PRT,17352.0,9175.0,34.59
PRY,4.0,,
QAT,3.0,10.0,76.92
ROU,335.0,114.0,25.39
RUS,328.0,211.0,39.15
SAU,15.0,30.0,66.67
SEN,3.0,8.0,72.73
SGP,21.0,12.0,36.36
SRB,51.0,2.0,3.77
SUR,5.0,,
SVK,38.0,10.0,20.83
SVN,33.0,8.0,19.51
SWE,651.0,172.0,20.9
SYR,3.0,,
THA,24.0,16.0,40.0
TMP,2.0,1.0,33.33
TUN,18.0,18.0,50.0
TUR,116.0,96.0,45.28
TWN,30.0,13.0,30.23
TZA,1.0,3.0,75.0
UKR,42.0,20.0,32.26
URY,21.0,8.0,27.59
USA,1390.0,448.0,24.37
UZB,2.0,2.0,50.0
VEN,13.0,8.0,38.1
VNM,6.0,2.0,25.0
ZAF,48.0,29.0,37.66
ZWE,2.0,2.0,50.0
